Date,Adj Close,Close,High,Low,Open,Volume
02/01/2015,0.483143479,0.503250003,0.507000029,0.495249987,0.503250003,113680000
05/01/2015,0.474983126,0.494749993,0.504750013,0.492500007,0.503250003,197952000
06/01/2015,0.460582405,0.479750007,0.495999992,0.479250014,0.495499998,197764000
07/01/2015,0.459382355,0.478500009,0.487500012,0.476999998,0.483249992,321808000
08/01/2015,0.476663202,0.496499985,0.499500006,0.483749986,0.483999997,283780000
09/01/2015,0.478583217,0.49849999,0.502250016,0.49149999,0.498250008,209540000
12/01/2015,0.472582996,0.492249995,0.5,0.487749994,0.499749988,190732000
13/01/2015,0.471862882,0.49149999,0.505999982,0.488000005,0.495999992,236720000
14/01/2015,0.473783076,0.493499994,0.495000005,0.485000014,0.486250013,155260000
15/01/2015,0.470422953,0.49000001,0.5,0.489749998,0.497000009,188932000
16/01/2015,0.479063392,0.499000013,0.499500006,0.487749994,0.489250004,181512000
20/01/2015,0.480503321,0.500500023,0.505249977,0.49425,0.502499998,140308000
21/01/2015,0.487223715,0.507499993,0.508750021,0.49425,0.497750014,144780000
22/01/2015,0.495624304,0.516250014,0.517750025,0.503250003,0.50849998,159712000
23/01/2015,0.497064054,0.517750025,0.518750012,0.512499988,0.516749978,120416000
26/01/2015,0.494904131,0.515500009,0.518000007,0.512250006,0.515500009,133240000
27/01/2015,0.471142948,0.490750015,0.508000016,0.489749998,0.507499993,357948000
28/01/2015,0.463462621,0.482749999,0.498750001,0.482499987,0.496749997,272728000
29/01/2015,0.474743128,0.494500011,0.497249991,0.480749995,0.48300001,235340000
30/01/2015,0.460822374,0.479999989,0.496749997,0.479250014,0.490999997,298200000
02/02/2015,0.47090292,0.490500003,0.492500007,0.473500013,0.48300001,259604000
03/02/2015,0.482663453,0.502749979,0.503250003,0.49149999,0.493999988,183468000
04/02/2015,0.483863592,0.504000008,0.509750009,0.499749988,0.501250029,181516000
05/02/2015,0.491783798,0.512250006,0.512499988,0.504000008,0.504499972,140448000
06/02/2015,0.489623636,0.50999999,0.517750025,0.507749975,0.511749983,210524000
09/02/2015,0.489143938,0.509500027,0.510999978,0.503750026,0.507000029,273944000
10/02/2015,0.502824485,0.523750007,0.523999989,0.507749975,0.50999999,226204000
11/02/2015,0.499464363,0.520250022,0.524999976,0.516749978,0.524999976,320832000
12/02/2015,0.535226345,0.557500005,0.5625,0.546750009,0.550000012,676904000
13/02/2015,0.535465956,0.557749987,0.558499992,0.547749996,0.556249976,310084000
17/02/2015,0.537145913,0.559499979,0.562250018,0.553250015,0.55675,203340000
18/02/2015,0.530905783,0.552999973,0.559750021,0.551999986,0.558749974,170948000
19/02/2015,0.532345772,0.554499984,0.56099999,0.551999986,0.560000002,169432000
20/02/2015,0.536186039,0.558499992,0.558749974,0.550000012,0.55400002,157752000
23/02/2015,0.531866133,0.55400002,0.55825001,0.551249981,0.55825001,125008000
24/02/2015,0.5375278,0.557749987,0.557749987,0.549000025,0.55400002,149356000
25/02/2015,0.533431888,0.553499997,0.558000028,0.550999999,0.555499971,123820000
26/02/2015,0.534877539,0.555000007,0.55825001,0.550499976,0.55400002,152864000
27/02/2015,0.531504452,0.551500022,0.554750025,0.549499989,0.553499997,157492000
02/03/2015,0.544515133,0.564999998,0.568000019,0.549250007,0.550000012,301512000
03/03/2015,0.534395576,0.554499984,0.563499987,0.552749991,0.560750008,160344000
04/03/2015,0.540419161,0.560750008,0.561999977,0.550249994,0.55250001,226840000
05/03/2015,0.550779223,0.571500003,0.57249999,0.559249997,0.560750008,323056000
06/03/2015,0.543310344,0.563750029,0.57099998,0.563250005,0.56825,257392000
09/03/2015,0.544755876,0.565249979,0.569500029,0.562749982,0.56400001,222388000
10/03/2015,0.554152429,0.574999988,0.578750014,0.56674999,0.567749977,527212000
11/03/2015,0.551261187,0.572000027,0.582499981,0.570500016,0.574999988,262120000
12/03/2015,0.546201527,0.56674999,0.570749998,0.555999994,0.566500008,406972000
13/03/2015,0.546924472,0.567499995,0.569000006,0.556249976,0.56400001,359288000
16/03/2015,0.553429723,0.574249983,0.577750027,0.56825,0.572000027,236956000
17/03/2015,0.560175836,0.581250012,0.581499994,0.569000006,0.573000014,299900000
18/03/2015,0.551020384,0.571749985,0.584249973,0.566500008,0.581250012,413844000
19/03/2015,0.559453189,0.580500007,0.582499981,0.569500029,0.573750019,310756000
20/03/2015,0.565476239,0.586749971,0.590250015,0.579750001,0.58525002,462084000
23/03/2015,0.547165155,0.567749977,0.57674998,0.567499995,0.569249988,426012000
24/03/2015,0.539696336,0.560000002,0.569999993,0.557500005,0.565999985,330480000
25/03/2015,0.506929219,0.526000023,0.559750021,0.524249971,0.559750021,542552000
26/03/2015,0.505242527,0.524249971,0.526499987,0.511500001,0.515250027,311920000
27/03/2015,0.515121043,0.534500003,0.536499977,0.518750012,0.527249992,318288000
30/03/2015,0.517289281,0.536750019,0.539499998,0.529999971,0.537,253252000
31/03/2015,0.504278839,0.523249984,0.535749972,0.52275002,0.535250008,357276000
01/04/2015,0.506206274,0.525250018,0.52700001,0.516250014,0.525250018,330768000
02/04/2015,0.507410944,0.526499987,0.52974999,0.522000015,0.528249979,192204000
06/04/2015,0.522108078,0.541750014,0.543500006,0.518750012,0.524249971,515864000
07/04/2015,0.526685774,0.546500027,0.55250001,0.538749993,0.541750014,413964000
08/04/2015,0.530540824,0.550499976,0.55250001,0.541750014,0.546999991,366432000
09/04/2015,0.542828381,0.563250005,0.564999998,0.546000004,0.546249986,379432000
10/04/2015,0.548369884,0.569000006,0.569249988,0.561749995,0.563750029,258728000
13/04/2015,0.543310344,0.563750029,0.57099998,0.561249971,0.567749977,236724000
14/04/2015,0.538732708,0.559000015,0.563750029,0.553499997,0.561500013,220276000
15/04/2015,0.54523772,0.565750003,0.569999993,0.557749987,0.560500026,243560000
16/04/2015,0.541864634,0.562250018,0.567250013,0.55825001,0.5625,155284000
17/04/2015,0.534877539,0.555000007,0.560500026,0.550249994,0.550499976,293636000
20/04/2015,0.532227337,0.552250028,0.56099999,0.551249981,0.557500005,231624000
21/04/2015,0.531504452,0.551500022,0.559000015,0.548749983,0.559000015,230456000
22/04/2015,0.5375278,0.557749987,0.558499992,0.546249986,0.554750025,207420000
23/04/2015,0.535359502,0.555499971,0.560750008,0.54124999,0.547500014,259380000
24/04/2015,0.530781627,0.550750017,0.555499971,0.544499993,0.555249989,240960000
27/04/2015,0.534877539,0.555000007,0.564750016,0.547749996,0.55250001,248456000
28/04/2015,0.5375278,0.557749987,0.559750021,0.548749983,0.55400002,234484000
29/04/2015,0.533431888,0.553499997,0.559249997,0.551249981,0.553749979,195156000
30/04/2015,0.534877539,0.555000007,0.557749987,0.549499989,0.550750017,218844000
